Monthly Mean Avg Temperature for SPRINGFIELD COMANCHE NATIONAL GRASSLAND,,,,,,,,,,,,,,,,,,,,,,,,,
For each month: monthly value and monthly number of missing days,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year, Jan, mcnt, Feb, mcnt, Mar, mcnt, Apr, mcnt, May, mcnt, Jun, mcnt, Jul, mcnt, Aug, mcnt, Sep, mcnt, Oct, mcnt, Nov, mcnt, Dec, mcnt, Annual
2016,33.5,0,39.8,0,43.9,0,50.6,0,57.5,0,73.1,0,78,0,72,0,66.9,2,59.6,1,45.3,0,29.5,0,54.1
2017,31.9,0,41.1,0,47.6,0,51.6,0,57.6,0,71.2,0,75.8,0,69.8,0,66.6,0,53.8,0,45.9,0,32.6,0,53.8
2018,33.9,0,33.9,0,44.6,0,48.3,0,66.8,0,74.8,0,75.2,0,72.1,1,66.7,0,51.8,2,37.5,0,31.7,0,53.1
2019,33.7,0,30.6,0,38.4,0,51.1,0,55.5,0,67.2,0,76.4,0,75.9,0,72.6,0,45.8,0,39.6,0,36.4,0,51.9
Mean,33.3, ,36.3, ,43.6, ,50.4, ,59.4, ,71.6, ,76.3, ,72.4, ,68.2, ,52.7, ,42.1, ,32.6, ,53.2
Max,33.9, ,41.1, ,47.6, ,51.6, ,66.8, ,74.8, ,78, ,75.9, ,72.6, ,59.6, ,45.9, ,36.4, ,54.1
Min,31.9, ,30.6, ,38.4, ,48.3, ,55.5, ,67.2, ,75.2, ,69.8, ,66.6, ,45.8, ,37.5, ,29.5, ,51.9
,,,,,,,,,,,,,,,,,,,,,,,,,
Min,29.5,,,,,,,,,,,,,,,,,,,,,,,,
Max,78,,,,,,,,,,,,,,,,,,,,,,,,
