ecoregion,year,population_size,lcl_90,ucl_90
SOPR,2012,2950,1208,5120
SOPR,2013,1649,761,2655
SOPR,2014,1156,338,2193
SOPR,2015,706,150,1298
SOPR,2016,2803,1318,4838
SOPR,2017,2041,798,3617
SOPR,2018,4950,1885,9300
SOPR,2020,4878,2432,8147
SOPR,2021,1571,630,2678
SOPR,2022,519,179,934
SSPR,2012,2059,269,4398
SSPR,2013,1768,605,3316
SSPR,2014,435,0,949
SSPR,2015,774,231,1521
SSPR,2016,1177,287,2272
SSPR,2017,1234,301,2421
SSPR,2018,2884,1200,5052
SSPR,2020,174,,
SSPR,2021,440,55,963
SSPR,2022,1713,209,3681
MGPR,2012,7839,3433,13688
MGPR,2013,3452,1285,6334
MGPR,2014,5941,1971,10717
MGPR,2015,8056,5048,11358
MGPR,2016,5533,2832,8717
MGPR,2017,6357,3015,10441
MGPR,2018,6470,3374,10194
MGPR,2020,4516,1662,7912
MGPR,2021,3132,1688,4877
MGPR,2022,4512,2248,6968
SGPR,2012,16534,10116,24256
SGPR,2013,9044,3702,14941
SGPR,2014,11454,6306,17027
SGPR,2015,14003,8050,21182
SGPR,2016,11225,6521,16537
SGPR,2017,17284,10717,25336
SGPR,2018,20522,12150,30558
SGPR,2020,25000,15634,35112
SGPR,2021,25318,15092,36329
SGPR,2022,19847,9653,31248
