"","model_num","effect","component","group","term","estimate","std.error","statistic","p.value"
"1",2,"fixed","cond",NA,"log_sl_","-0.072107","0.010539",-6.84212266674583,7.80282268720346e-12
"2",3,"fixed","cond",NA,"prop_path_crop","-0.342231","0.146186",-2.34106196406336,0.0192289754231575
"3",3,"fixed","cond",NA,"log_sl_","-0.054432","0.011153",-4.88050105801677,1.05816646238303e-06
"4",4,"fixed","cond",NA,"prop_path_shrub","-0.435178","0.212695",-2.04602141620493,0.0407542636500982
"5",4,"fixed","cond",NA,"log_sl_","-0.063995","0.010790",-5.93117627831585,3.00772085128652e-09
"6",5,"fixed","cond",NA,"prop_path_dev_open","-1.821770","0.763731",-2.38535703490528,0.017062552842747
"7",5,"fixed","cond",NA,"log_sl_","-0.067304","0.010874",-6.1893216995479,6.04236561295302e-10
"8",6,"fixed","cond",NA,"prop_path_grass","-0.186398","0.193447",-0.963556498989639,0.335268325184311
"9",6,"fixed","cond",NA,"log_sl_","-0.059328","0.010928",-5.42900350880733,5.66695700473059e-08
"10",7,"fixed","cond",NA,"prop_path_crp","0.565528","0.145021",3.89963194520365,9.63390252321205e-05
"11",7,"fixed","cond",NA,"log_sl_","-0.053573","0.011190",-4.78780533769305,1.68615080176261e-06
"12",8,"fixed","cond",NA,"prop_path_forest","-13.336982","6.403157",-2.08287611629041,0.0372625171626269
"13",8,"fixed","cond",NA,"log_sl_","-0.070112","0.010595",-6.6177157417938,3.64791615296702e-11
"14",9,"fixed","cond",NA,"prop_path_barren","-13.822908","28.369939",-0.487237867039943,0.626089773254869
"15",9,"fixed","cond",NA,"log_sl_","-0.072036","0.010541",-6.83372050997047,8.27401530337532e-12
"16",10,"fixed","cond",NA,"prop_path_water","-31.650118","25.677308",-1.23261046505759,0.217721130630046
"17",10,"fixed","cond",NA,"log_sl_","-0.071741","0.010547",-6.80222353739048,1.03016582467542e-11
"18",11,"fixed","cond",NA,"prop_path_wetland","-19.637109","9.462860",-2.07517694235239,0.0379701387853443
"19",11,"fixed","cond",NA,"log_sl_","-0.070586","0.010579",-6.67204210408503,2.52268164702951e-11
"20",12,"fixed","cond",NA,"prop_path_dev_lmh","-7.427234","6.993463",-1.06202520153608,0.288224244481748
"21",12,"fixed","cond",NA,"log_sl_","-0.071358","0.010568",-6.75194983933092,1.45871312508096e-11
"22",13,"fixed","cond",NA,"cross_secondary","0.070756","0.082910",0.853397831843215,0.393438723448978
"23",13,"fixed","cond",NA,"log_sl_","-0.074426","0.010862",-6.8518454682499,7.29032875919308e-12
"24",14,"fixed","cond",NA,"cross_street","0.013873","0.062545",0.221814631728456,0.824458188707374
"25",14,"fixed","cond",NA,"log_sl_","-0.073475","0.012512",-5.87246141358291,4.29371668097787e-09
"26",15,"fixed","cond",NA,"cross_transmission_line","0.132929","0.097968",1.35685726276666,0.174826568508601
"27",15,"fixed","cond",NA,"log_sl_","-0.074884","0.010708",-6.99342498371614,2.68255327586441e-12
"28",16,"fixed","cond",NA,"log_distance_to_secondary","0.124187","0.040825",3.04190882872776,0.00235083086089857
"29",16,"fixed","cond",NA,"log_sl_","-0.069711","0.010612",-6.56930231108906,5.05515592181545e-11
"30",17,"fixed","cond",NA,"log_distance_to_street","0.142968","0.031208",4.58110285488449,4.62530278357578e-06
"31",17,"fixed","cond",NA,"log_sl_","-0.060961","0.010815",-5.63663242194548,1.73407701774388e-08
"32",18,"fixed","cond",NA,"log_distance_to_well","0.233192","0.053363",4.36993026533343,1.24286220572604e-05
"33",18,"fixed","cond",NA,"log_sl_","-0.065986","0.010697",-6.16863049005536,6.88839903686634e-10
"34",19,"fixed","cond",NA,"log_distance_to_transmission_line","0.188759","0.052165",3.61850762013334,0.000296306776626884
"35",19,"fixed","cond",NA,"log_sl_","-0.069450","0.010591",-6.55773301972476,5.46319035136897e-11
"36",20,"fixed","cond",NA,"shrub_binary","-0.176697","0.105670",-1.67215677967365,0.0944934106113843
"37",20,"fixed","cond",NA,"log_sl_","-0.069004","0.010583",-6.52042854190873,7.0106800828092e-11
"38",21,"fixed","cond",NA,"dev_open_binary","0.126330","0.179801",0.702612914399304,0.482297012094139
"39",21,"fixed","cond",NA,"log_sl_","-0.071680","0.010562",-6.78659293365123,1.14812558108532e-11
"40",22,"fixed","cond",NA,"grass_binary","0.023577","0.088655",0.265944015704869,0.790282325675504
"41",22,"fixed","cond",NA,"log_sl_","-0.067369","0.010634",-6.33540526661199,2.36718225678381e-10
"42",23,"fixed","cond",NA,"crp_binary","0.166100","0.096547",1.72040284340583,0.0853592405073922
"43",23,"fixed","cond",NA,"log_sl_","-0.056280","0.010888",-5.16923214852267,2.35057763114832e-07
